Numeros generados 	 Limite Rango 	 Numero generado
	1			48		35
	2			47		41
	3			46		17
	4			45		17
	5			44		39
	6			43		40
	7			42		18
	8			41		21
	9			40		14
	10			39		33
	11			38		30
	12			37		24
	13			36		0
	14			35		23
	15			34		1
	16			33		1
	17			32		16
	18			31		23
	19			30		5
	20			29		5
	21			28		4
	22			27		10
	23			26		24
	24			25		24
	25			24		4
	26			23		0
	27			22		20
	28			21		14
	29			20		11
	30			19		13
	31			18		11
	32			17		11
	33			16		14
	34			15		7
	35			14		6
	36			13		11
	37			12		11
	38			11		6
	39			10		5
	40			9		3
	41			8		4
	42			7		4
	43			6		3
	44			5		3
	45			4		0
	46			3		1
	47			2		1
	48			1		0
